City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bonavista,48.6499,-53.1147,-3.15,62,46,2.84,CA,1674929201
1,Leningradskiy,69.3833,178.4167,-16.76,94,100,5.14,RU,1674929124
2,Methven,-43.6333,171.65,9.95,99,0,1.47,NZ,1674929202
3,Pisco,-13.7,-76.2167,24.03,78,0,4.12,PE,1674929202
4,Kavaratti,10.5669,72.642,26.58,72,4,3.95,IN,1674929202
5,Nome,64.5011,-165.4064,-4.91,100,100,4.63,US,1674929009
6,Bethel,41.3712,-73.414,10.48,46,0,6.17,US,1674929201
7,Cherskiy,68.75,161.3,-28.88,95,100,1.32,RU,1674929203
8,Chara,56.9064,118.2631,-22.1,79,93,0.87,RU,1674929203
9,Busselton,-33.65,115.3333,13.86,74,30,6.12,AU,1674929048
10,Bluff,-46.6,168.3333,13.79,82,27,3.28,NZ,1674929204
11,Zeya,53.75,127.2667,-36.75,100,72,1.11,RU,1674929204
12,Faanui,-16.4833,-151.75,27.42,70,11,7.48,PF,1674929204
13,Atikokan,48.7555,-91.6216,-20.65,86,35,2.82,CA,1674929205
14,Hilo,19.7297,-155.09,22.38,88,40,2.57,US,1674929205
15,Mahébourg,-20.4081,57.7,25.7,85,79,1.66,MU,1674928914
16,Invermere,50.5167,-116.0354,-11.83,82,99,1.05,CA,1674929206
17,Hermanus,-34.4187,19.2345,18.22,68,100,7.33,ZA,1674928907
18,Ushuaia,-54.8,-68.3,15.79,45,9,4.24,AR,1674929122
19,Rikitea,-23.1203,-134.9692,25.86,74,57,5.13,PF,1674928922
20,Port Elizabeth,-33.918,25.5701,17.83,97,100,6.17,ZA,1674929206
21,Qaanaaq,77.484,-69.3632,-19.6,59,7,4.04,GL,1674929206
22,Albany,42.6001,-73.9662,7.42,52,37,0.89,US,1674928923
23,Kumul,42.8,93.45,-7.92,33,0,0.68,CN,1674929207
24,Atuona,-9.8,-139.0333,25.91,79,93,9.29,PF,1674928914
25,Sisimiut,66.9395,-53.6735,-11.04,90,100,8.99,GL,1674929207
26,Waspán,14.7419,-83.9717,30.32,44,100,3.85,NI,1674929208
27,Berlevåg,70.8578,29.0864,-1.03,86,75,4.12,NO,1674928922
28,Mopti,14.6667,-4.0,25.56,7,94,4.0,ML,1674929208
29,Muli,2.9167,73.5667,27.23,74,97,5.71,MV,1674929209
30,Zhigansk,66.7697,123.3711,-43.61,98,98,4.27,RU,1674929209
31,Srednekolymsk,67.45,153.6833,-30.87,98,97,0.85,RU,1674929209
32,Coolum Beach,-26.5333,153.1,23.52,94,53,0.61,AU,1674929210
33,Fortuna,40.5982,-124.1573,9.19,90,100,2.06,US,1674929210
34,Provideniya,64.3833,-173.3,-6.92,96,100,0.94,RU,1674929210
35,Kuching,1.55,110.3333,26.68,99,40,0.51,MY,1674929211
36,Nikolskoye,59.7035,30.7861,-5.06,87,97,5.12,RU,1674929211
37,Kiruna,67.8557,20.2251,-5.49,74,0,5.66,SE,1674929211
38,Kodīnar,20.7903,70.7031,21.09,75,0,3.53,IN,1674929212
39,Belyy Yar,53.6039,91.3903,-1.06,59,0,9.0,RU,1674929212
40,Liverpool,53.4106,-2.9779,7.3,93,100,1.54,GB,1674929212
41,Chokurdakh,70.6333,147.9167,-38.0,100,92,1.34,RU,1674929213
42,Barrow,71.2906,-156.7887,-22.99,77,75,5.14,US,1674929213
43,Port Alfred,-33.5906,26.891,18.99,94,47,2.68,ZA,1674929213
44,Avarua,-21.2078,-159.775,27.03,78,39,4.12,CK,1674929214
45,Esperance,-33.8667,121.9,15.29,68,0,3.74,AU,1674929214
46,New Norfolk,-42.7826,147.0587,15.95,58,56,0.45,AU,1674929214
47,Hobyo,5.3505,48.5268,24.61,75,8,8.65,SO,1674929215
48,Iqaluit,63.7506,-68.5145,-40.58,88,24,1.2,CA,1674929215
49,Salalah,17.0151,54.0924,23.05,38,0,4.63,OM,1674929215
50,Punta Arenas,-53.15,-70.9167,17.06,45,0,11.83,CL,1674929216
51,Ponta do Sol,32.6667,-17.1,17.06,67,83,3.16,PT,1674929216
52,Ponta Delgada,37.7333,-25.6667,14.4,77,75,6.69,PT,1674929216
53,Faya,18.3851,42.4509,13.29,63,3,1.2,SA,1674929217
54,Tasiilaq,65.6145,-37.6368,-3.91,93,100,6.06,GL,1674929217
55,Sitka,57.0531,-135.33,0.94,86,0,0.0,US,1674929168
56,Ostrovnoy,68.0531,39.5131,-2.36,88,100,11.57,RU,1674929217
57,Jutaí,-5.1833,-68.9,28.08,79,99,1.42,BR,1674929218
58,Lakes Entrance,-37.8811,147.981,18.73,78,100,2.95,AU,1674929218
59,Chhor,25.5167,69.7667,15.74,12,0,4.1,PK,1674929218
60,Ribeira Grande,38.5167,-28.7,16.22,67,40,6.17,PT,1674929219
61,Tiksi,71.6872,128.8694,-33.13,99,100,2.14,RU,1674929219
62,Hofn,64.2539,-15.2082,4.85,85,100,3.16,IS,1674929219
63,Illela,13.7292,5.2975,29.14,11,34,5.28,NG,1674929220
64,Mataura,-46.1927,168.8643,9.34,97,0,0.58,NZ,1674929220
65,Dickinson,29.4608,-95.0513,21.69,80,100,8.75,US,1674928992
66,Bredasdorp,-34.5322,20.0403,17.09,60,100,5.4,ZA,1674929220
67,Fredericksburg,38.3032,-77.4605,14.42,40,0,3.6,US,1674929083
68,East London,-33.0153,27.9116,21.79,84,76,8.48,ZA,1674929221
69,Santa Cruz de La Palma,28.6835,-17.7642,16.74,82,75,5.66,ES,1674929221
70,Kardymovo,54.8902,32.4311,-3.18,85,99,0.65,RU,1674929222
71,Bathsheba,13.2167,-59.5167,28.34,57,40,9.77,BB,1674929222
72,Kapaa,22.0752,-159.319,21.18,80,0,3.6,US,1674929223
73,Shagonar,51.5333,92.8,-21.14,98,100,1.25,RU,1674929223
74,Chapais,49.7834,-74.8492,-15.12,88,100,6.29,CA,1674928968
75,Inhambane,-23.865,35.3833,27.99,74,0,4.12,MZ,1674929223
76,Puerto Ayora,-0.7393,-90.3518,27.98,93,54,3.13,EC,1674929224
77,Castro,-24.7911,-50.0119,28.41,42,1,2.62,BR,1674929224
78,Chui,-33.6971,-53.4616,24.88,76,98,1.63,UY,1674929224
79,Kelowna,49.8831,-119.4857,2.12,57,99,1.34,CA,1674929225
80,Bama,11.5221,13.6856,30.06,12,72,2.77,NG,1674929225
81,Simao,22.7886,100.9748,7.67,97,20,1.5,CN,1674929225
82,Strezhevoy,60.7333,77.5889,-17.3,100,96,2.77,RU,1674929226
83,Bukachacha,52.9833,116.9167,-25.42,99,64,1.62,RU,1674929226
84,Goderich,43.7501,-81.7165,-1.16,72,100,6.27,CA,1674929227
